State,One_Severe_Depressive,Severe_Depressive,Youth w/ Substance Use Disorder in the Past Year,GDP ,percent_gdp,gdp_growth_percent
Alabama,13.13,6.4,3.63,228062,1.1,2
Alaska,15.21,10.7,4.37,50413,0.2,-0.3
Arizona,15.93,12.5,4.08,378297,1.8,4
Arkansas,14.74,10.7,4.11,130709,0.6,0.9
California,13.7,8.7,4.04,3120386,14.7,3.5
Colorado,13.99,8.7,5.12,394271,1.9,3.5
Connecticut,14.24,9,3.86,283601,1.3,1
Delaware,13.05,9.3,4.15,76468,0.4,0.3
Florida,13.17,9.3,4.34,1111614,5.3,3.5
Georgia,12.52,9.3,3.2,627667,3,2.6
Hawaii,12.93,8.5,4.04,89866,0.4,1
Idaho,16.7,12.7,3.97,85552,0.4,4.1
Illinois,14.86,11,4.04,875671,4.1,2.1
Indiana,15.71,12.7,3.37,379293,1.8,1.9
Iowa,15.09,9.8,4.21,195353,0.9,1.4
Kansas,14.95,9.9,3.63,175465,0.8,1.9
Kentucky,13.61,9.6,3.77,213169,1,1.4
Louisiana,12.84,9.2,3.58,244577,1.2,1.1
Maine,15.45,13.5,4.59,67129,0.3,1.9
Maryland,13.02,9.8,3.26,427616,2,1.6
Massachusetts,13.86,8.5,3.92,590307,2.8,2.7
Michigan,15.31,11.3,3.64,524828,2.5,2.7
Minnesota,14.04,9.8,3.86,379388,1.8,2.2
Mississippi,12.15,6.3,3.3,115900,0.5,1
Missouri,14.78,10.4,3.69,325841,1.5,2.3
Montana,14.4,10.4,5.18,51934,0.2,0.9
Nebraska,14.2,9,3.69,129761,0.6,1.5
Nevada,15.11,11.8,5.09,175509,0.8,3.2
New Hampshire,15.08,8.7,4.41,86319,0.4,2.2
New Jersey,11.95,8.1,3.42,625659,3,2
New Mexico,17.43,13.1,4.8,100777,0.5,1.8
New York,11.4,7.8,3.41,1705127,8.1,2.1
North Carolina,15.05,12.6,3.57,594126,2.8,2.9
North Dakota,13.75,8.5,4.38,54044,0.3,2.5
Ohio,13.73,9.1,3.97,683460,3.2,1.8
Oklahoma,16.48,12.7,4.19,186883,0.9,1.8
Oregon,17.57,13.1,4.65,253849,1.2,3.4
Pennsylvania,11.88,7.1,3.42,788500,3.7,2.1
Rhode Island,13.4,9.5,4.05,61081,0.3,0.6
South Carolina,13.56,9.8,3.95,245473,1.2,1.6
South Dakota,12.53,8,4.78,55243,0.3,1.3
Tennessee,12.27,9.2,3.91,369063,1.7,3
Texas,13.2,9.2,3.24,1772132,8.4,3.2
Utah,16.64,11.9,3.16,198630,0.9,4.3
Vermont,14.65,10.7,5.61,33278,0.2,1.2
Virginia,14.28,10.2,3.56,557986,2.6,2.8
Washington,15.66,10.3,5.01,632013,3,5.7
West Virginia,14.66,12.5,4.08,74511,0.4,2.4
Wisconsin,15.31,13.4,4.07,344500,1.6,2.5
Wyoming,14.91,12,4.63,36000,0.2,0.3